id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
2825,TransDigm Group,United States,Aerospace & Defense,2800,464,8300,12100,-
2826,Transneft,Russia,Oil Services & Equipment,13300,2300,36700,20400,-
2827,Transocean,Switzerland,Oil Services & Equipment,7400,781,26300,3900,-
2828,Transurban Group,Australia,Other Transportation,1500,63,16000,17900,-
2829,TravelCenters of America,U.S.,Specialty Retailers: Other,5851,28 ,1635,263 ,18450
2830,Travelers,United States,Property & Casualty Insurance,26900,3400,102000,32400,-
2831,Travelers Cos.,U.S.,Insurance: Property and Casualty (Stock),26800,3439,100184,-,30900
2832,Travis Perkins,United Kingdom,Home Improvement Retail,9100,256,7100,6600,-
2833,TreeHouse Foods,U.S.,Food Consumer Products,3206,115 ,3703,4892,5880
2834,Tribune Media,U.S.,Entertainment,2011,(320),9759,3554,8000
2835,Trimble,U.S.,"Scientific,Photographic and Control Equipment",2290,121 ,3681,6242,8451
2836,TriNet Group,U.S.,Diversified Outsourcing Services,2659,32 ,2098,1015,2500
2837,Trinity Industries,United States,Heavy Equipment,6400,772,8900,3000,-
2838,TripleLift,United States,Business Services & Supplies,7 ,-,-,-,36
2839,Triple-S Management,U.S.,Health Care: Insurance and Managed Care,2903,52 ,2206,612 ,3405
2840,Triumph Group,U.S.,Aerospace and Defense,3889,239 ,6069,1553,15153
2841,TrueBlue,U.S.,Temporary Help,2696,71 ,1267,1109,5500
2842,Truelight,TAIWAN,-,143,25,-,219,-
2843,Truong Long Engineering & Auto,VIETNAM,-,78,6,-,48,-
2844,TUI,Germany,Business & Personal Services,22400,295,14800,8300,-
2845,Tung Thih Electronic,TAIWAN,-,222,25,-,1118,-
2846,Tupperware Brands,U.S.,Household and Personal Products,2284,186 ,1598,2928,13000
2847,Turk Telekom,Turkey,Telecommunications services,5200,453,9900,8200,-
2848,Turkcell,Turkey,Telecommunications services,4700,753,9100,9300,-
2849,Turkish Airlines,Turkey,Airline,10500,1100,16300,3400,-
2850,Turner Industries Group,United States,Construction,3000,-,-,-,18500
2851,Tutor Perini,U.S.,"Engineering, Construction",4921,45 ,4042,763 ,10626
2852,Twenty-First Century Fox,U.S.,Entertainment,28987,8306,50051,-,20500
2853,Two Harbors Investment,United States,Real Estate,828,492,14600,2700,-
2854,Tyco International,Switzerland,Security Systems,9800,494,11400,16600,-
2855,Tyson Foods,United States,Food Processing,39700,1400,23300,22900,-
2856,U.S. Bancorp,U.S.,Commercial Banks,21494,5879,421853,70518,65433
2857,U.S. Postal Service,U.S.,"Mail, Package, and Freight Delivery",68928,"(5,060)",24014,-,556850
2858,UBI Banca,Italy,Regional Banks,4700,130,127300,3800,-
2859,UBS,Switzerland,Regional Banks,39900,6400,941900,63700,-
2860,UBS Group,Switzerland,Banks: Commercial and Savings,38511,6448,942160,-,60099
2861,UC Rusal,Russia,Aluminum,8700,558,11900,5500,-
2862,UCB,Belgium,Pharmaceuticals,4300,334,11900,15300,-
2863,UCO Bank,India,Regional Banks,3200,-136,37300,660,-
2864,UGI,United States,Natural Gas Utilities,6300,362,10800,6900,-
2865,Ulta Salon Cosmetcs & Fragrance,United States,Specialty Stores,3900,320,2200,12900,-
2866,Ulta Salon Cosmetics & Fragrance,U.S.,Specialty Retailers: Other,3924,320 ,2231,12132,18100
2867,Ultrapar Holdings,Brazil,Energy,22695,451 ,5301,-,14597
2868,Ultrapar Participacoes,Brazil,Oil & Gas Operations,22600,450,5300,11500,-
2869,Umicore,Belgium,Diversified Metals & Mining,10800,188,4400,5800,-
2870,Under Armour,U.S.,Apparel,3963,233 ,2869,18446,9600
2871,Unibail-Rodamco,France,Real Estate,2300,2600,41400,26400,-
2872,Unicharm,Japan,Household/Personal Care,6100,335,5800,13300,-
2873,UniCredit Group,Italy,Regional Banks,25700,1800,934700,23600,-
2874,Unilever,Netherlands,Household/Personal Care,59100,5400,56800,137200,-
2875,Union Bank of India,India,Regional Banks,5900,288,61500,1400,-
2876,Union National Bank,United Arab Emirates,Regional Banks,1300,487,27700,2800,-
2877,Union Pacific,United States,Railroads,21000,4600,55800,75400,-
2878,Unipol Group,Italy,"Insurance: Life, Health (stock)",21478,302 ,97512,-,13242
2879,Unipol Gruppo,Italy,Diversified Insurance,20200,301,96500,3100,-
2880,Uni-President,Taiwan,Food Processing,13100,444,12100,10300,-
2881,Uniqa,Austria,Diversified Insurance,7300,367,35000,2200,-
2882,Unisys,U.S.,Information Technology Services,3015,(110),2143,385 ,23000
2883,United Continental Holdings,United States,Airline,37500,7100,40900,17100,-
2884,United Internet,Germany,Telecommunications services,4100,406,4300,9900,-
2885,United Natural Foods,U.S.,Wholesalers: Food and Grocery,8185,139 ,2550,2028,8700
2886,United Overseas Bank,Singapore,Regional Banks,7700,2300,222800,23400,-
2887,United Parcel Service,United States,Air Courier,58100,4800,38300,93300,-
2888,United Refining,U.S.,Petroleum Refining,2470,82 ,886 ,-,2997
2889,United Rentals,United States,Rental & Leasing,5800,585,12100,5800,-
2890,United States Steel,U.S.,Metals,11574,"(1,642)",9190,2350,33200
2891,United Technologies,United States,Conglomerates,59100,4000,87500,88400,-
2892,United Therapeutics,United States,Biotechs,1500,652,2200,5400,-
2893,United Utilities,United Kingdom,Diversified Utilities,2700,433,17600,9000,-
2894,UnitedHealth Group,United States,Managed Health Care,165900,6000,117900,127500,-
2895,Universal,U.S.,Tobacco,2272,115 ,2199,1291,27000
2896,Universal Forest Products,U.S.,Forest and Paper Products,2887,81 ,1108,1738,7000
2897,Universal Health,United States,Healthcare Services,9000,680,9600,12600,-
2898,Universal Health Services,U.S.,Health Care: Medical Facilities,9785,681 ,9634,12181,64500
2899,Univision Communications,U.S.,Entertainment,2858,(45),10126,-,3700
2900,Unum,United States,Life & Health Insurance,10800,867,61900,8100,-
2901,Unum Group,U.S.,"Insurance: Life, Health (stock)",10731,867 ,60590,7385,9400
2902,UPM-Kymmene,Finland,Paper & Paper Products,11200,1000,15400,9100,-
2903,UPS,U.S.,"Mail, Package, and Freight Delivery",58363,4844,38311,-,341240
2904,Urban Outfitters,U.S.,Specialty Retailers: Apparel,3445,225 ,1833,3885,16680
2905,US Bancorp,United States,Major Banks,21100,5800,428600,75000,-
2906,US Foods Holding,U.S.,Wholesalers: Food and Grocery,23128,168 ,9239,-,25000
2907,US Steel,United States,Iron & Steel,11600,-1500,9200,2900,-
2908,USAA,U.S.,Insurance: Property and Casualty (Stock),24361,2272,137077,-,28681
2909,USG,United States,Construction Materials,3800,991,4700,4200,-
2910,VakifBank,Turkey,Regional Banks,6200,719,66900,4500,-
2911,Vale,Brazil,Iron & Steel,25600,-13200,87300,26000,-
2912,Valeant Pharmaceuticals,Canada,Pharmaceuticals,10400,-292,49000,12300,-
2913,Valeo,France,Auto & Truck Parts,16100,808,12400,11700,-
2914,Valero Energy,United States,Oil & Gas Operations,87800,4000,44300,28800,-
2915,Valmont Industries,U.S.,Construction and Farm Machinery,2619,40 ,2399,2822,10697
2916,Valspar,United States,Specialized Chemicals,4300,348,4200,8500,-
2917,Vantiv,U.S.,Financial Data Services,3160,148 ,6465,10311,3313
2918,Varian Medical Systems,United States,Medical Equipment & Supplies,3100,407,3700,8100,-
2919,Vectren,U.S.,Utilities: Gas and Electric,2435,197 ,5410,4185,5600
2920,Vedanta Resources,United Kingdom,Diversified Metals & Mining,12100,-2100,36400,1700,-
2921,Ventas,United States,Real Estate,3400,399,22300,20300,-
2922,Veolia Environnement,France,Diversified Utilities,27700,499,39000,13300,-
2923,Vereit,United States,Real Estate,1600,-316,17400,8000,-
2924,VeriSign,United States,Software & Programming,1100,375,2400,9700,-
2925,Verisk Analytics,United States,Business & Personal Services,2100,508,5600,13100,-
2926,Verizon,U.S.,Telecommunications,131620,17879,244640,-,177700
2927,Verizon Communications,United States,Telecommunications services,131800,18000,244600,206200,-
2928,Vertex Pharmaceuticals,United States,Biotechs,1000,-558,2500,21400,-
2929,Vestas Wind Systems,Denmark,Electrical Equipment,9300,760,9300,14700,-
2930,VF,United States,Apparel/Accessories,12400,1200,9600,27100,-
2931,Viacom,United States,Broadcasting & Cable,13100,1900,22400,17300,-
2932,Vicinity Centres,Australia,Real Estate,964,658,11700,9900,-
2933,Vienna Insurance Group,Austria,Diversified Insurance,10400,108,48200,2900,-
2934,Viet Duc Welding Electrode,VIETNAM,-,14,2,-,15,-
2935,Vietin Bank,Vietnam,Regional Banks,2300,260,34700,2800,-
2936,Vieworks,SOUTH KOREA,-,83,14,-,446,-
2937,VimpelCom,Netherlands,Telecommunications services,9800,-627,33800,6700,-
2938,VINCI,France,Construction Services,43400,2300,68600,43000,-
2939,Virgin Money Holdings,United Kingdom,Regional Banks,1400,170,44600,2300,-
2940,Virtustream,United States,IT Software & Services,75 ,-,-,-,300
2941,Visa,United States,Consumer Financial Services,14300,6800,54300,189800,-
2942,Vishay Intertechnology,U.S.,Semiconductors and Other Electronic Components,2301,(109),3153,1803,22400
2943,Visteon,United States,Auto & Truck Parts,4500,2300,4700,2800,-
2944,Vivendi,France,Telecommunications services,11900,891,38000,28200,-
2945,VIZIO,United States,Technology Hardware & Equipment,2900,-,-,-,400
2946,VMTurbo,United States,IT Software & Services,24 ,-,-,-,254
2947,VMware,United States,Software & Programming,6700,962,15800,24700,-
2948,Vocus Communications,AUSTRALIA,-,124,17,-,3749,-
2949,Vodafone,United Kingdom,Telecommunications services,64500,-2100,182400,87300,-
2950,Vodafone Group,Britain,Telecommunications,61690,"(6,059)",192159,-,111684
2951,Voestalpine,Austria,Iron & Steel,12500,690,14700,6300,-
2952,Volkswagen,Germany,Motor Vehicles and Parts,236600,"(1,520)",414858,-,610076
2953,Volkswagen Group,Germany,Auto & Truck Manufacturers,246200,7100,414600,73100,-
2954,Voltronic Power Technology,TAIWAN,-,253,45,-,1165,-
2955,Volvo,Sweden,Motor Vehicles and Parts,37061,1786,44394,-,93983
2956,Volvo Group,Sweden,Heavy Equipment,37000,1800,45300,25900,-
2957,Vornado Realty,United States,Real Estate,2400,760,21100,18000,-
2958,Vornado Realty Trust,U.S.,Real estate,2530,760 ,21143,17807,4089
2959,Votto Vines Importing Inc.,United States,Food Markets,6 ,-,-,-,9
2960,Voya Financial,United States,Investment Services,11700,404,220800,6700,-
2961,VTB Bank,Russia,Regional Banks,22400,21,186800,14000,-
2962,Vulcan Materials,United States,Construction Materials,3400,221,8600,14600,-
2963,VWR,U.S.,Wholesalers: Diversified,4319,154 ,4794,3556,9300
2964,W&W-W®πstenrot,Germany,Investment Services,7700,300,80100,1900,-
2965,W.R. Berkley,U.S.,Insurance: Property and Casualty (Stock),7207,504 ,21731,6889,7621
2966,W.R. Grace,U.S.,Chemicals,3052,144 ,3676,5028,6700
2967,W.W. Grainger,U.S.,Wholesalers: Diversified,9973,769 ,5858,14373,25100
2968,W_rtsil_,Finland,Heavy Equipment,5500,460,6400,8600,-
2969,WABCO Holdings,U.S.,Motor Vehicles and Parts,2628,275 ,2590,6074,12429
2970,Walgreens Boots Alliance,United States,Drug Retail,116500,3400,66400,86600,-
2971,Walmart,U.S.,General Merchandisers,482130,14694,199581,-,2300000
2972,Wal-Mart Stores,United States,Discount Stores,482100,14700,199600,215700,-
2973,Walsh Group,United States,Construction,5000,-,-,-,6500
2974,Walt Disney,United States,Broadcasting & Cable,53900,9100,90100,169300,-
2975,Wangsu Science & Technology,CHINA / HONG KONG,-,466,132,-,8567,-
2976,Want Want China,China,Food Processing,3400,542,3800,10700,-
2977,Warner Music Group,U.S.,Entertainment,2966,(91),5671,-,4211
2978,Waste Connections,U.S.,Waste Management,2117,(96),5122,7906,7227
2979,Waste Management,United States,Environmental & Waste,13000,753,20900,25100,-
2980,Wasu Media Holding,CHINA / HONG KONG,-,454,85,-,4575,-
2981,Waters,United States,Precision Healthcare Equipment,2000,469,4300,11200,-
2982,Watsco,U.S.,Wholesalers: Diversified,4113,173 ,1788,4761,5000
2983,Wawa,United States,Convenience Stores & Gas Stations,8900,-,-,-,27000
2984,Weatherford International,Switzerland,Oil Services & Equipment,9400,-2000,14800,7300,-
2985,Webzen,SOUTH KOREA,-,214,53,-,527,-
2986,WEC Energy Group,United States,Electric Utilities,5900,639,30400,17900,-
2987,WeddingWire,United States,Services,49 ,-,-,-,350
2988,Wegmans Food Markets,United States,Food Markets,7900,-,-,-,46500
2989,Weichai Power,China,Heavy Equipment,11700,222,17700,5200,-
2990,Weis Markets,U.S.,Food and Drug Stores,2877,59 ,1236,1212,19000
2991,WellCare Health Plans,United States,Managed Health Care,13900,119,5200,4200,-
2992,Wells Fargo,United States,Major Banks,91400,22700,1849200,256000,-
2993,Welltower,United States,Real Estate,3900,603,29000,24300,-
2994,Wendel,France,Investment Services,8700,-162,20100,5400,-
2995,Werner Enterprises,U.S.,"Trucking, Truck Leasing",2094,124 ,1614,1957,12325
2996,WESCO International,U.S.,Wholesalers: Diversified,7519,211 ,4587,2307,9300
2997,Wesfarmers,Australia,Food Retail,47700,1800,30400,36400,-
2998,West,U.S.,Diversified Outsourcing Services,2383,242 ,3612,1904,10630
2999,West Japan Railway,Japan,Railroads,11800,701,23400,12100,-
3000,Westar Energy,U.S.,Utilities: Gas and Electric,2459,292 ,10706,7026,2330
3001,Western & Southern Financial Group,U.S.,"Insurance: Life, Health (Mutual)",5356,457 ,41952,-,2168
3002,Western Digital,United States,Computer Storage Devices,13400,1100,15500,10200,-
3003,Western Refining,United States,Oil & Gas Operations,9800,407,5900,2600,-
3004,Western Securities,China,Investment Services,1100,317,8800,10500,-
3005,Western Union,United States,Business & Personal Services,5400,838,9500,9900,-
3006,Westinghouse Air Brake Technologies,U.S.,Industrial Machinery,3308,399 ,3300,7134,13000
3007,Westlake Chemical,United States,Diversified Chemicals,4500,643,5600,6700,-
3008,Westpac Banking,Australia,Banks: Commercial and Savings,31064,6274,570215,-,35241
3009,Westpac Banking Group,Australia,Major Banks,30200,6300,571000,80600,-
3010,WestRock,United States,Containers & Packaging,12500,-71,24800,10300,-
3011,Weyerhaeuser,United States,Real Estate,7100,506,12500,24700,-
3012,WGL Holdings,U.S.,Energy,2660,131 ,5294,3608,1529
3013,WH Group,Hong Kong,Food Processing,21200,786,14300,11700,-
3014,Wheelock,Hong Kong,Real Estate,7400,1800,66200,9500,-
3015,Whirlpool,United States,Household Appliances,20900,783,19000,14500,-
3016,Whitbread,United Kingdom,Restaurants,4300,586,6300,10200,-
3017,WhiteWave Foods,U.S.,Food Consumer Products,3866,168 ,4229,7188,5300
3018,Whiting Petroleum,U.S.,"Mining, Crude-Oil Production",2051,"(2,219)",11389,1631,1200
3019,Whiting-Turner Contracting,United States,Construction,5700,-,-,-,2000
3020,Whole Foods Market,United States,Food Retail,15500,525,6200,9700,-
3021,Wilbur-Ellis,United States,Chemicals,3100,-,-,-,4100
3022,Williams,United States,Oil Services & Equipment,7400,-557,49000,14700,-
3023,Williams-Sonoma,U.S.,Specialty Retailers: Other,4976,310 ,2417,4881,19850
3024,Willis Towers Watson,United Kingdom,Diversified Insurance,3800,373,18800,17100,-
3025,Wilmar International,Singapore,Food Processing,38800,1100,37900,16800,-
3026,WinCo Foods,United States,Food Markets,6300,-,-,-,15300
3027,Windstream Holdings,U.S.,Telecommunications,5765,27 ,12518,703 ,12326
3028,Winning Health Technology Group,CHINA / HONG KONG,-,120,24,-,2944,-
3029,Wintime Energy,China,Diversified Metals & Mining,1500,86,13700,7800,-
3030,Wipro,India,Computer Services,7800,1400,10900,20700,-
3031,Wistron,Taiwan,Computer Hardware,19600,42,8800,1400,-
3032,WL Gore & Associates,United States,Materials,2900,-,-,-,10000
3033,Wm Morrison Supermarkets,United Kingdom,Food Retail,24500,338,13200,6400,-
3034,Wm. Morrison Supermarkets,Britain,Food and Drug Stores,24522,338 ,13189,-,82992
3035,Wolseley,Switzerland,Construction Materials,20800,910,11400,14100,-
3036,Wolters Kluwer,Netherlands,Printing & Publishing,4700,469,8800,11600,-
3037,Wolverine World Wide,U.S.,Apparel,2692,123 ,2445,1840,6550
3038,Wonderful Company,United States,Multicompany,4800,-,-,-,7800
3039,Woodside Petroleum,Australia,Oil & Gas Operations,5000,-26,23800,18100,-
3040,Woolworths,Australia,Food Retail,45300,-80,17600,21500,-
3041,Woori Bank,South Korea,Regional Banks,13300,924,248900,6200,-
3042,World Fuel Services,United States,Specialty Stores,30300,187,4500,3500,-
3043,World Wide Technology,United States,Technology Hardware & Equipment,7400,-,-,-,3758
3044,Worthington Industries,U.S.,Metals,3384,77 ,2085,2254,10500
3045,WPG Holdings,Taiwan,Electronics,16200,171,5500,1800,-
3046,WPP,United Kingdom,advertising,18700,1800,42400,30100,-
3047,WPX Energy,U.S.,"Mining, Crude-Oil Production",1958,"(1,727)",8350,1934,1040
3048,WR Berkley,United States,Property & Casualty Insurance,7200,504,21700,6900,-
3049,W-SCOPE,JAPAN,-,62,15,-,545,-
3050,Wuchan Zhongda Group,China,Trading,29052,220 ,11237,-,18218
3051,Wuhan Iron & Steel,China,Iron & Steel,14000,-83,15900,5300,-
3052,Wuliangye Yibin,China,Beverages,3200,983,8100,15700,-
3053,WW Grainger,United States,Electrical Equipment,10000,738,6000,14100,-
3054,Wyndham Worldwide,United States,Hotels & Motels,5500,611,10200,8500,-
3055,Wynn Resorts,United States,Casinos & Gaming,4100,173,10500,9800,-
3056,X5 Retail Group,Russia,Food Retail,13100,233,5600,5500,-
3057,XAC Automation,TAIWAN,-,101,16,-,175,-
3058,Xcel Energy,United States,Electric Utilities,11000,985,39100,19800,-
3059,Xerox,United States,Business Products & Supplies,18000,488,24800,11300,-
3060,Xiamen C&D,China,Trading Companies,19800,419,15300,7600,-
3061,Xilinmen Furniture,CHINA / HONG KONG,-,269,30,-,825,-
3062,Xilinx,United States,Semiconductors,2200,541,4900,11700,-
3063,Xinjiang Goldwind Science & Technology,China,Electrical Equipment,4700,453,8100,6200,-
3064,Xinxing Cathay International Group,China,Metals,32567,456 ,19554,-,64487
3065,XL Group,Ireland,Diversified Insurance,9400,1200,58700,10500,-
3066,XPEC Entertainment,TAIWAN,-,69,14,-,406,-
3067,XPO Logistics,U.S.,Transportation and Logistics,7623,(191),12643,3366,89000
3068,Xylem,U.S.,Industrial Machinery,3653,340 ,4657,7312,12700
3069,Y Media Labs Inc.,United States,IT Software & Services,13 ,-,-,-,150
3070,Yahoo,United States,Computer Services,4800,-4500,44200,35500,-
3071,Yamada Denki,Japan,Computer & Electronics Retail,13400,178,10400,4900,-
3072,Yamaguchi Financial,Japan,Regional Banks,1300,253,83900,2500,-
3073,Yamaha Motor,Japan,Real Estate,13300,496,10900,6300,-
3074,Yamato Holdings,Japan,Trucking,11700,302,9300,8600,-
3075,Yangquan Coal Industry Group,China,"Mining, Crude-Oil Production",28310,(30),31669,-,155306
3076,Yantai Moon,CHINA / HONG KONG,-,454,49,-,838,-
3077,Yanzhou Coal Mining,China,Diversified Metals & Mining,10800,81,21500,5900,-
3078,YapStone,United States,Business Services & Supplies,120 ,-,-,-,270
